"subject_id","seed","mean_numerosity","appearance","first_estimate_raw","second_estimate_raw","geometric_mean_raw","first_error_raw","second_error_raw","geom_mean_error_raw","estimate_difference_raw","mean_individual_error_raw","woic_magnitude_raw","c_mean_numerosity"
"85939",43,106.625,"diffPos_diffObj",115,106,110.408333018844,8.375,0.625,3.78333301884419,9,4.5,0.716666981155811,7.28125
"85939",44,49.625,"samePos_diffObj",60,61,60.4979338490167,10.375,11.375,10.8729338490167,1,10.875,0.00206615098331042,-49.71875
"85939",45,149.625,"diffPos_sameObj",120,132,125.857061780418,29.625,17.625,23.7679382195819,12,23.625,-0.142938219581893,50.28125
"85939",46,92,"diffPos_diffObj",110,105,107.470926301023,18,13,15.4709263010234,5,15.5,0.0290736989766174,-7.34375
"85939",47,77.625,"samePos_sameObj",105,97,100.920760995942,27.375,19.375,23.2957609959417,8,23.375,0.0792390040582944,-21.71875
"85939",48,106.625,"samePos_diffObj",111,115,112.982299498638,4.375,8.375,6.35729949863827,4,6.375,0.0177005013617304,7.28125
"85939",49,120.625,"diffPos_sameObj",110,96,102.761860629321,10.625,24.625,17.863139370679,14,17.625,-0.238139370679008,21.28125
"85939",50,135,"samePos_diffObj",120,117,118.490505948789,15,18,16.509494051211,3,16.5,-0.00949405121095026,35.65625
"85939",51,106.625,"diffPos_sameObj",115,100,107.238052947636,8.375,6.625,0.613052947636163,15,7.5,6.88694705236384,7.28125
"85939",52,49.625,"diffPos_diffObj",58,59,58.4978632088387,8.375,9.375,8.87286320883867,1,8.875,0.00213679116133392,-49.71875
"85939",53,135,"diffPos_diffObj",120,130,124.899959967968,15,5,10.1000400320321,10,10,-0.100040032032055,35.65625
"85939",54,106.625,"samePos_diffObj",111,121,115.89219128138,4.375,14.375,9.26719128138008,10,9.375,0.107808718619921,7.28125
"85939",55,63.625,"samePos_sameObj",68,71,69.4838110641608,4.375,7.375,5.85881106416085,3,5.875,0.0161889358391534,-35.71875
"85939",56,149.625,"samePos_sameObj",112,121,116.413057686842,37.625,28.625,33.2119423131581,9,33.125,-0.086942313158076,50.28125
"85939",57,106.625,"samePos_sameObj",100,58,76.1577310586391,6.625,48.625,30.4672689413609,42,27.625,-2.84226894136087,7.28125
"85939",58,63.625,"samePos_diffObj",50,72,60,13.625,8.375,3.62500000000001,22,11,7.37499999999999,-35.71875
"85939",59,120.625,"diffPos_diffObj",115,117,115.995689575087,5.625,3.625,4.6293104249127,2,4.625,-0.00431042491270262,21.28125
"85939",60,149.625,"samePos_sameObj",125,126,125.499003980111,24.625,23.625,24.1259960198886,1,24.125,-0.00099601988864606,50.28125
"85939",61,92,"samePos_sameObj",70,68,68.9927532426414,22,24,23.0072467573586,2,23,-0.00724675735861524,-7.34375
"85939",62,149.625,"samePos_diffObj",125,140,132.287565553229,24.625,9.625,17.3374344467705,15,17.125,-0.212434446770544,50.28125
"85939",63,135,"diffPos_diffObj",130,128,128.996123972777,5,7,6.00387602722324,2,6,-0.00387602722324232,35.65625
"85939",64,92,"samePos_sameObj",112,87,98.7117014340245,20,5,6.71170143402455,25,12.5,5.78829856597545,-7.34375
"85939",65,49.625,"diffPos_sameObj",45,51,47.9061582680139,4.625,1.375,1.71884173198606,6,3,1.28115826801394,-49.71875
"85939",66,120.625,"samePos_sameObj",85,87,85.9941858499748,35.625,33.625,34.6308141500252,2,34.625,-0.00581415002523045,21.28125
"85939",67,63.625,"diffPos_diffObj",68,74,70.9365914038728,4.375,10.375,7.31159140387282,6,7.375,0.0634085961271751,-35.71875
"85939",68,135,"diffPos_sameObj",108,84,95.2470471983253,27,51,39.7529528016747,24,39,-0.752952801674738,35.65625
"85939",69,77.625,"diffPos_diffObj",95,71,82.1279489577087,17.375,6.625,4.50294895770867,24,12,7.49705104229133,-21.71875
"85939",70,106.625,"samePos_sameObj",104,86,94.5727233402951,2.625,20.625,12.0522766597049,18,11.625,-0.427276659704916,7.28125
"85939",71,92,"diffPos_sameObj",100,96,97.9795897113271,8,4,5.97958971132714,4,6,0.0204102886728634,-7.34375
"85939",72,77.625,"samePos_diffObj",90,73,81.0555365166378,12.375,4.625,3.43053651663777,17,8.5,5.06946348336223,-21.71875
"85939",73,135,"diffPos_diffObj",112,125,118.321595661992,23,10,16.6784043380077,13,16.5,-0.178404338007681,35.65625
